scenario_spacing_m,event_step,event_time_s,event_gap_01_m,event_gap_12_m,event_gap_23_m,event_gap_34_m,collision,collision_pairs,success_no_collision,min_gap_01_m,min_gap_12_m,min_gap_23_m,min_gap_34_m,final_gap_01_m,final_gap_12_m,final_gap_23_m,final_gap_34_m,min_final_gap_m,extra_gap_needed_est_m,receivers,reaction_map,end_reason
10,4,0.4,10.0,10.0,10.0,10.0,True,car0|car1|car2,False,0.0,0.0,7.1200000000000045,10.0,0.0,0.0,7.1200000000000045,10.0,0.0,2.0,node1|node2|node3|node4,car1:5|car2:5|car3:5|car4:5,collision_then_all_stopped
15,4,0.4,15.0,15.0,15.0,14.999999999999972,True,car0|car1,False,0.0,8.430000000000007,15.0,3.8880000000000337,0.0,8.430000000000007,15.0,3.8880000000000337,0.0,2.0,node1|node2|node3,car1:5|car2:5|car3:5|car4:9,collision_then_all_stopped
20,4,0.4,20.0,20.0,19.99999999999997,19.99999999999997,True,car0|car1,False,0.0,18.613999999999976,8.888000000000034,19.999999999999886,0.0,18.613999999999976,8.888000000000034,19.999999999999886,0.0,2.0,node1|node2,car1:5|car2:5|car3:9|car4:9,collision_then_all_stopped
25,4,0.4,25.0,25.0,24.999999999999943,25.0,False,,True,3.3100000000000023,25.0,13.887999999999977,24.99999999999993,3.3100000000000023,25.0,13.887999999999977,24.999999999999943,3.3100000000000023,0.0,node1|node2,car1:5|car2:5|car3:9|car4:9,safe_full_stop
30,4,0.4,30.0,30.0,29.999999999999943,30.000000000000014,False,,True,8.310000000000002,18.888000000000034,29.999999999999844,30.0,8.310000000000002,18.888000000000034,29.999999999999886,30.000000000000057,8.310000000000002,0.0,node1,car1:5|car2:9|car3:9|car4:9,safe_full_stop
35,4,0.4,35.0,34.99999999999997,34.99999999999997,35.00000000000003,False,,True,13.310000000000002,23.888000000000034,34.99999999999987,35.0,13.310000000000002,23.888000000000034,34.999999999999886,35.000000000000085,13.310000000000002,0.0,node1,car1:5|car2:9|car3:9|car4:9,safe_full_stop
40,4,0.4,40.0,39.99999999999994,40.0,40.00000000000003,False,,True,18.310000000000002,28.887999999999977,39.999999999999915,40.0,18.310000000000002,28.887999999999977,39.999999999999915,40.00000000000014,18.310000000000002,0.0,node1,car1:5|car2:9|car3:9|car4:9,safe_full_stop
