scenario_spacing_m,event_step,event_time_s,event_gap_01_m,event_gap_12_m,event_gap_23_m,event_gap_34_m,collision,collision_pairs,success_no_collision,min_gap_01_m,min_gap_12_m,min_gap_23_m,min_gap_34_m,final_gap_01_m,final_gap_12_m,final_gap_23_m,final_gap_34_m,min_final_gap_m,extra_gap_needed_est_m,receivers,reaction_map,end_reason
15,4,0.4,14.999999999999972,15.0,15.000000000000014,15.000000000000014,True,car0|car1,False,0.0,8.430000000000007,15.0,3.888000000000062,0.0,8.430000000000007,15.0,3.888000000000062,0.0,2.0,node1|node2|node3,car1:5|car2:5|car3:5|car4:9,collision_then_all_stopped
17,4,0.4,16.99999999999997,17.0,17.00000000000003,17.0,True,car0|car1,False,0.0,12.824000000000012,17.0,5.888000000000062,0.0,12.824000000000012,17.00000000000003,5.888000000000062,0.0,2.0,node1|node2|node3,car1:5|car2:5|car3:5|car4:9,collision_then_all_stopped
19,4,0.4,18.99999999999997,19.0,19.00000000000003,19.0,True,car0|car1,False,0.0,16.678000000000026,7.888000000000005,18.999999999999986,0.0,16.678000000000026,7.888000000000005,19.000000000000043,0.0,2.0,node1|node2,car1:5|car2:5|car3:9|car4:9,collision_then_all_stopped
21,4,0.4,20.99999999999997,21.0,21.00000000000003,21.0,True,car0|car1,False,2.842170943040401e-14,20.309999999999974,9.888000000000034,20.999999999999986,2.842170943040401e-14,20.309999999999974,9.888000000000034,21.000000000000043,2.842170943040401e-14,1.9999999999999716,node1|node2,car1:5|car2:5|car3:9|car4:9,collision_then_all_stopped
23,4,0.4,22.99999999999997,23.0,23.00000000000003,22.999999999999993,False,,True,1.3100000000000023,22.999999999999957,11.88800000000009,22.999999999999964,1.3100000000000023,23.0,11.88800000000009,22.99999999999997,1.3100000000000023,0.0,node1|node2,car1:5|car2:5|car3:9|car4:9,safe_full_stop
25,4,0.4,24.99999999999997,25.000000000000014,25.000000000000014,24.999999999999993,False,,True,3.3100000000000023,24.999999999999986,13.88800000000009,24.999999999999964,3.3100000000000023,25.0,13.88800000000009,24.99999999999997,3.3100000000000023,0.0,node1|node2,car1:5|car2:5|car3:9|car4:9,safe_full_stop
