scenario_spacing_m,event_step,event_time_s,event_gap_01_m,event_gap_12_m,event_gap_23_m,event_gap_34_m,collision,collision_pairs,success_no_collision,min_gap_01_m,min_gap_12_m,min_gap_23_m,min_gap_34_m,final_gap_01_m,final_gap_12_m,final_gap_23_m,final_gap_34_m,min_final_gap_m,extra_gap_needed_est_m,receivers,reaction_map,end_reason
15,4,0.4,14.999999999999972,15.0,15.000000000000014,15.000000000000014,True,car1|car2|car3,False,6.71999999999997,0.0,0.0,15.0,10.301999999999964,0.0,0.0,28.956000000000216,0.0,2.0,node1|node4,car1:5|car2:no_rx|car3:no_rx|car4:5,collision_then_all_stopped
17,4,0.4,16.99999999999997,17.0,17.00000000000003,17.0,True,car1|car2|car3,False,7.374999999999972,0.0,0.0,17.0,9.565999999999974,0.0,0.0,38.930000000000206,0.0,2.0,node1|node4,car1:5|car2:no_rx|car3:no_rx|car4:5,collision_then_all_stopped
19,4,0.4,18.99999999999997,19.0,19.00000000000003,19.0,True,car1|car2|car3|car4,False,8.664999999999992,0.0,0.0,0.0,10.287999999999982,0.0,0.0,0.0,0.0,2.0,node1,car1:5|car2:no_rx|car3:no_rx|car4:no_rx,collision_then_all_stopped
21,4,0.4,20.99999999999997,21.0,21.00000000000003,21.0,True,car1|car2|car3|car4,False,9.930000000000007,0.0,0.0,0.0,11.069999999999993,0.0,0.0,0.0,0.0,2.0,node1,car1:5|car2:no_rx|car3:no_rx|car4:no_rx,collision_then_all_stopped
23,4,0.4,22.99999999999997,23.0,23.00000000000003,22.999999999999993,True,car1|car2|car3|car4,False,10.38500000000002,0.0,0.0,0.0,10.814000000000021,0.0,0.0,0.0,0.0,2.0,node1,car1:5|car2:no_rx|car3:no_rx|car4:no_rx,collision_then_all_stopped
25,4,0.4,24.99999999999997,25.000000000000014,25.000000000000014,24.999999999999993,True,car1|car2|car3|car4,False,11.575000000000017,0.0,0.0,0.0,11.77600000000001,0.0,0.0,0.0,0.0,2.0,node1,car1:5|car2:no_rx|car3:no_rx|car4:no_rx,collision_then_all_stopped
